Dave Krieger (will be last ballot),x,,,x,x,x,x,,x,,x,,,,x,,,x,x,,,,,,,,,,,,,,,,10,BlitzKrieg Blog,12/25/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schilling,,
Roch Kubatko ,x,x,x,x,x,,x,,x,,x,,x,,,x,,,,,,,,,,,,,,,,,,,10,http://bit.ly/2hRKapX,12/20/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Schilling, Manny",,
Gabe Lacques,x,x,x,x,x,,,,,,x,,x,x,x,,,,x,,,,,,,,,,,,,,,,10,Twitter,12/21/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Lancaster,x,x,x,x,x,,x,,,,x,,x,x,,,,,x,,,,,,,,,,,,,,,,10,Yahoo Sports,12/23/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Lariviere ,x,,,x,x,,,x,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,9,Email ,12/16/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Lennon,x,x,x,x,x,,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,10,Twitter,12/21/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Liao ,x,x,x,,x,,x,,,,x,x,x,x,,,,x,,,,,,,,,,,,,,,,,10,Twitter,12/21/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vlad,,
Bernie Lincicome ,x,x,x,x,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,7,http://bit.ly/2htkvFR,12/16/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Marcus ,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,http://nwsdy.li/2hxQZMM,12/14/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Maril,,x,x,x,x,,,,x,,,x,x,,,,x,,,,,,,,,,,,,,,,,,8,http://bit.ly/2fQRKDc,12/2/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Massarotti,,x,x,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,5,Radio show 11/22/16,11/26/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack McCaffery (Rose write-in) ,x,x,x,x,x,,,,,,x,,x,x,,x,,,,,,,,,,,,,,,,,,,9,http://bit.ly/2gGMY8D,11/28/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janie McCauley ,x,x,x,x,x,,x,,,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,10,Email ,12/11/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe McDonald,x,x,x,x,,,x,,x,,x,x,x,,,,x,,,,,,,,,,,,,,,,,,10,Twitter,12/22/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Mellinger,x,x,x,,,,x,,x,,x,x,x,x,,,,,x,,,,,,,,,,,,,,,,10,http://bit.ly/2hTtSiU,12/17/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vlad,,
Bruce Miles,x,x,x,x,x,,x,,x,,x,,x,,,x,,,,,,,,,,,,,,,,,,,10,Daily Herald,12/26/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Molony,x,,,x,x,x,x,,,,x,x,x,,,x,,,,,,,,,,,,,x,,,,,,10,http://bit.ly/2hjU4QJ,12/9/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schilling ,,
Aurelio Moreno,x,x,x,x,x,,x,,x,,x,,x,,,,x,,,,,,,,,,,,,,,,,,10,http://bit.ly/2hHIMWn,12/16/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Morrissey ,,,,,x,,,,,,x,,,x,,,,,x,,,,,,,,,,,,,,,,4,http://bit.ly/2hHoCf1,12/16/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gene Myers,x,x,x,x,x,,x,,x,,x,,x,,,x,,,,,,,,,,,,,,,,,,,10,Email ,12/19/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Schilling, McGriff, Walker",,
Mark Newman,x,x,x,x,x,,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,10,http://bit.ly/2hjwIwy,12/13/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian O'Connor,x,x,x,x,x,,,,x,,x,,x,x,,x,,,,,,,,,,,,,,,,,,,10,Twitter,12/21/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Edgar, Walker",,
Jose de Jesus Ortiz ,x,x,x,x,x,x,,,,,x,,x,,,x,,x,,,,,,,,,,,,,,,,,10,http://bit.ly/2fAuQya,11/25/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mussina,,
Bob Padecky,x,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,3,Facebook,12/7/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Passan,x,x,x,x,,,x,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,10,http://bit.ly/2hMbYOZ,12/15/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dave Perkins,x,x,x,x,,,,,,,x,,x,,,,,,x,,,,,,,,,,,,,,,,7,Radio,12/21/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Pietruszkiewicz,x,x,x,x,x,,x,,,,x,x,x,,,,x,,,,,,,,,,,,,,,,,,10,Twitter,12/23/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Plunkett,x,,,x,x,x,x,,,,,,x,,x,,,,x,,,,,,,,,,,,,,,,8,Email ,12/20/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Politi,x,x,x,,x,x,x,,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,10,http://bit.ly/2gbWKkz,12/5/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vlad, McGriff, Manny",,
Steve Popper,x,x,x,x,,,x,,x,,x,,x,x,,,,x,,,,,,,,,,,,,,,,,10,Twitter,12/21/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Priestle ,x,x,x,x,,,x,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,10,,12/27/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sheffield, Walker",,
Dave Reynolds ,x,,,x,x,,x,,x,,x,,x,x,,,,,x,,,,,,,,,,,,,,,,9,https://t.co/yjVYUdV6mb,12/9/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan Roberts,x,x,x,x,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,10,DM,12/10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hoffman,,
John Romano (did not vote last yr),x,x,x,,,,x,x,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,10,DM,12/23/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. Trent Rosecrans ,x,x,x,,,,x,,x,,x,x,x,x,,,,,x,,,,,,,,,,,,,,,,10,Twitter,12/21/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vlad, Sosa",,
Ken Rosenthal,x,x,x,,x,,x,,x,,x,,x,x,,,,x,,,,,,,,,,,,,,,,,10,http://foxs.pt/2h1THM7,12/19/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vlad (+Walker, McGriff, Kent, Sheffield, Smith?)",,
Barry Rozner,x,x,x,,x,x,,,x,,x,,x,x,,x,,,,,,,,,,,,,,,,,,,10,http://bit.ly/2hdplnB,12/17/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Rubin,x,x,x,x,x,,x,,,,x,x,x,,,x,,,,,,,,,,,,,,,,,,,10,http://bit.ly/2gHFKEj,11/25/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Saxon ,x,x,x,x,,x,x,,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,10,http://bit.ly/2h6zpyM,12/15/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Schultz (will be last ballot),x,,,x,x,,x,x,x,,x,,,x,,x,,x,,,,,,,,,,,,,,,,,10,AJC,12/24/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Shalin ,x,x,x,x,,,x,,x,,x,,x,,,,x,,x,,,,,,,,,,,,,,,,10,http://bit.ly/2i7Vv7Z,12/20/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Shelton (did not vote last yr) ,x,x,x,,x,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,7,http://bit.ly/2hR54oG ($),12/18/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Silverman,x,x,x,,,,x,,x,,x,x,x,x,,,,,x,,,,,,,,,,,,,,,,10,Boston Herald,12/27/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vlad,,
Steve Simmons ,x,,,x,x,,x,,x,,x,,x,x,,x,,,x,,,,,,,,,,,,,,,,10,http://bit.ly/2hYePkb,12/16/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claire Smith,x,x,x,x,x,,x,,,,x,,,x,,x,x,,,,,,,,,,,,,,,,,,10,http://bit.ly/2hazVzz,12/20/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Smizik,x,x,x,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,6,Email,12/23/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carl Steward,x,x,x,x,x,,,,x,,x,,x,x,,x,,,,,,,,,,,,,,,,,,,10,http://bit.ly/2gS2w8g,12/1/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Stiglich,x,x,x,x,x,,,,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,8,CSN Bay Area,12/23/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry Stone ,x,x,x,x,x,,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,10,http://bit.ly/2hRLoS1,12/19/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walker,,
TR Sullivan ,x,x,x,x,x,,,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,10,Comment 34,11/30/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kent, Edgar, Schilling, Sheffield",,
Jean-Jacques Taylor,x,x,x,x,x,,x,,x,,x,,x,,,x,,,,,,,,,,,,,,,,,,,10,Twitter,12/21/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Topkin,x,x,x,,x,,,x,,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,9,http://bit.ly/2hy4w9r,12/18/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Vaccaro,x,x,x,x,,,x,,x,,x,x,x,,,,,x,,,,,,,,,,,,,,,,,10,http://bit.ly/2idEDJ3,12/19/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sosa, Schilling",,
Juan Vene,,,,x,,,,x,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,5,Email,12/11/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Vorva,x,,,x,x,,x,,,,x,,x,x,,x,,,x,,,,,,,,,,,,,,,,9,Regional News,12/21/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
